relative_path,label,label_name,split,language,generative_method,open_set_model,open_set_language,audio_generative_method,audio_fake,video_fake
arabic/memo/00197_GxKz46WcZGU_1.mp4,1,fake,train,arabic,memo,False,False,xtts_v2,True,True
arabic/memo/00271_oXT83usVOS8_33.mp4,1,fake,train,arabic,memo,False,False,xtts_v2,True,True
arabic/memo/00415_KibSZxQb3Wg_38.mp4,1,fake,train,arabic,memo,False,False,xtts_v2,True,True
arabic/memo/00431_lybMngFw3uI_4.mp4,1,fake,train,arabic,memo,False,False,xtts_v2,True,True
arabic/memo/00467_v93AW3vzhls_30.mp4,1,fake,train,arabic,memo,False,False,xtts_v2,True,True
arabic/memo/00542_6aYa07-PrFs_8.mp4,1,fake,train,arabic,memo,False,False,xtts_v2,True,True
arabic/memo/00836_4LSdrQy4JrI_3.mp4,1,fake,train,arabic,memo,False,False,xtts_v2,True,True
arabic/memo/00999_qhGNsYAcuiY_16.mp4,1,fake,train,arabic,memo,False,False,xtts_v2,True,True
arabic/memo/01049_5ydmjufLqxE_11.mp4,1,fake,train,arabic,memo,False,False,xtts_v2,True,True
arabic/memo/01335_JZHyIDQ3txw_27.mp4,1,fake,train,arabic,memo,False,False,xtts_v2,True,True
arabic/memo/01345_rHVWAmgA3AY_13.mp4,1,fake,train,arabic,memo,False,False,xtts_v2,True,True
arabic/memo/01652_nvhuySn2FZc_46.mp4,1,fake,train,arabic,memo,False,False,xtts_v2,True,True
arabic/memo/01767_BtD0suqw-gY_16.mp4,1,fake,train,arabic,memo,False,False,xtts_v2,True,True
arabic/memo/01799_1hAfB0EUS4E_41.mp4,1,fake,train,arabic,memo,False,False,xtts_v2,True,True
arabic/memo/01902_O1pVwS_YRLg_19.mp4,1,fake,train,arabic,memo,False,False,xtts_v2,True,True
arabic/memo/01991__IGRXd-ipoA_1.mp4,1,fake,train,arabic,memo,False,False,xtts_v2,True,True
arabic/memo/02300_3QwdHC1P154_47.mp4,1,fake,train,arabic,memo,False,False,xtts_v2,True,True
arabic/memo/02322_u8NrUOLC1Pg_19.mp4,1,fake,train,arabic,memo,False,False,xtts_v2,True,True
arabic/memo/02348_3WG9frylcok_18.mp4,1,fake,train,arabic,memo,False,False,xtts_v2,True,True
arabic/memo/02457_oiTBQqraiA0_34.mp4,1,fake,train,arabic,memo,False,False,xtts_v2,True,True
arabic/memo/02515_qaFwRFfgM_g_3.mp4,1,fake,train,arabic,memo,False,False,xtts_v2,True,True
