relative_path,label,label_name,clip_key,person_id,source_video_id,clip_id
id00012/21Uxsk56VDQ/00002/real.mp4,0,real,id00012/21Uxsk56VDQ/00002,id00012,21Uxsk56VDQ,00002
id00012/21Uxsk56VDQ/00009/fake_video_fake_audio.mp4,1,fake_video_fake_audio,id00012/21Uxsk56VDQ/00009,id00012,21Uxsk56VDQ,00009
id00012/C_FAL9gv8bo/00030/fake_video_fake_audio.mp4,1,fake_video_fake_audio,id00012/C_FAL9gv8bo/00030,id00012,C_FAL9gv8bo,00030
id00012/JEBlkjLkhmY/00056/real.mp4,0,real,id00012/JEBlkjLkhmY/00056,id00012,JEBlkjLkhmY,00056
id00012/OuYBFCAc6GE/00069/fake_video_fake_audio.mp4,1,fake_video_fake_audio,id00012/OuYBFCAc6GE/00069,id00012,OuYBFCAc6GE,00069
id00012/OuYBFCAc6GE/00075/fake_video_fake_audio.mp4,1,fake_video_fake_audio,id00012/OuYBFCAc6GE/00075,id00012,OuYBFCAc6GE,00075
id00012/Pdni5zyZJYA/00079/real.mp4,0,real,id00012/Pdni5zyZJYA/00079,id00012,Pdni5zyZJYA,00079
id00012/Pdni5zyZJYA/00086/real.mp4,0,real,id00012/Pdni5zyZJYA/00086,id00012,Pdni5zyZJYA,00086
id00012/Z-G8-wqpxwU/00100/real.mp4,0,real,id00012/Z-G8-wqpxwU/00100,id00012,Z-G8-wqpxwU,00100
id00012/Z-G8-wqpxwU/00104/fake_video_fake_audio.mp4,1,fake_video_fake_audio,id00012/Z-G8-wqpxwU/00104,id00012,Z-G8-wqpxwU,00104
id00012/dGBIDj-zRuU/00135/real.mp4,0,real,id00012/dGBIDj-zRuU/00135,id00012,dGBIDj-zRuU,00135
id00012/yi_qz725MjE/00163/real.mp4,0,real,id00012/yi_qz725MjE/00163,id00012,yi_qz725MjE,00163
id00017/ABlWCST1MPY/00022/fake_video_fake_audio.mp4,1,fake_video_fake_audio,id00017/ABlWCST1MPY/00022,id00017,ABlWCST1MPY,00022
id00017/KtadqxztRBk/00031/fake_video_fake_audio.mp4,1,fake_video_fake_audio,id00017/KtadqxztRBk/00031,id00017,KtadqxztRBk,00031
id00017/MuKhvYeekXU/00034/real.mp4,0,real,id00017/MuKhvYeekXU/00034,id00017,MuKhvYeekXU,00034
id00017/MuKhvYeekXU/00035/fake_video_fake_audio.mp4,1,fake_video_fake_audio,id00017/MuKhvYeekXU/00035,id00017,MuKhvYeekXU,00035
id00017/OLguY5ofUrY/00044/real.mp4,0,real,id00017/OLguY5ofUrY/00044,id00017,OLguY5ofUrY,00044
id00017/OLguY5ofUrY/00049/fake_video_fake_audio.mp4,1,fake_video_fake_audio,id00017/OLguY5ofUrY/00049,id00017,OLguY5ofUrY,00049
id00017/U7PMtQkYWo8/00065/real.mp4,0,real,id00017/U7PMtQkYWo8/00065,id00017,U7PMtQkYWo8,00065
id00017/UGu7qDKCDd8/00070/real.mp4,0,real,id00017/UGu7qDKCDd8/00070,id00017,UGu7qDKCDd8,00070
id00017/gjYcaCzo7UU/00110/fake_video_fake_audio.mp4,1,fake_video_fake_audio,id00017/gjYcaCzo7UU/00110,id00017,gjYcaCzo7UU,00110
id00017/iJOjkDq6rW8/00123/real.mp4,0,real,id00017/iJOjkDq6rW8/00123,id00017,iJOjkDq6rW8,00123
id00017/lZf1RB6l5Gs/00149/real.mp4,0,real,id00017/lZf1RB6l5Gs/00149,id00017,lZf1RB6l5Gs,00149
id00017/lZf1RB6l5Gs/00157/fake_video_fake_audio.mp4,1,fake_video_fake_audio,id00017/lZf1RB6l5Gs/00157,id00017,lZf1RB6l5Gs,00157
id00017/lvX8diWgriA/00175/real.mp4,0,real,id00017/lvX8diWgriA/00175,id00017,lvX8diWgriA,00175
id00017/lvX8diWgriA/00188/fake_video_fake_audio.mp4,1,fake_video_fake_audio,id00017/lvX8diWgriA/00188,id00017,lvX8diWgriA,00188
id00017/wrB-yyERH2s/00200/real.mp4,0,real,id00017/wrB-yyERH2s/00200,id00017,wrB-yyERH2s,00200
id00018/9644iFap8q8/00014/fake_video_fake_audio.mp4,1,fake_video_fake_audio,id00018/9644iFap8q8/00014,id00018,9644iFap8q8,00014
id00018/9644iFap8q8/00020/real.mp4,0,real,id00018/9644iFap8q8/00020,id00018,9644iFap8q8,00020
id00018/Bg3MvcwUF_M/00035/real.mp4,0,real,id00018/Bg3MvcwUF_M/00035,id00018,Bg3MvcwUF_M,00035
id00018/EliXZV5PX6g/00041/fake_video_fake_audio.mp4,1,fake_video_fake_audio,id00018/EliXZV5PX6g/00041,id00018,EliXZV5PX6g,00041
